Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2017;9;8;00:00;78,9
Vantaa Helsinki-Vantaa airport;2017;9;9;00:00;23,6
Vantaa Helsinki-Vantaa airport;2017;9;10;00:00;53,2
Vantaa Helsinki-Vantaa airport;2017;9;11;00:00;140,1
Vantaa Helsinki-Vantaa airport;2017;9;12;00:00;75,8
Vantaa Helsinki-Vantaa airport;2017;9;13;00:00;113,4
Vantaa Helsinki-Vantaa airport;2017;9;14;00:00;74,5
Vantaa Helsinki-Vantaa airport;2017;9;15;00:00;104,9
Vantaa Helsinki-Vantaa airport;2017;9;16;00:00;96,9
Vantaa Helsinki-Vantaa airport;2017;9;17;00:00;131,8
Vantaa Helsinki-Vantaa airport;2017;9;18;00:00;78,1
Vantaa Helsinki-Vantaa airport;2017;9;19;00:00;62,6
Vantaa Helsinki-Vantaa airport;2017;9;20;00:00;63,6
Vantaa Helsinki-Vantaa airport;2017;9;21;00:00;67
Vantaa Helsinki-Vantaa airport;2017;9;22;00:00;17,6
Vantaa Helsinki-Vantaa airport;2017;9;23;00:00;111,8
Vantaa Helsinki-Vantaa airport;2017;9;24;00:00;141
Vantaa Helsinki-Vantaa airport;2017;9;25;00:00;120,9
Vantaa Helsinki-Vantaa airport;2017;9;26;00:00;47,3
Vantaa Helsinki-Vantaa airport;2017;9;27;00:00;98,8
Vantaa Helsinki-Vantaa airport;2017;9;28;00:00;78,1
Vantaa Helsinki-Vantaa airport;2017;9;29;00:00;99,7
Vantaa Helsinki-Vantaa airport;2017;9;30;00:00;18,8
Vantaa Helsinki-Vantaa airport;2017;10;1;00:00;18,9
Vantaa Helsinki-Vantaa airport;2017;10;2;00:00;14,2
Vantaa Helsinki-Vantaa airport;2017;10;3;00:00;6,2
Vantaa Helsinki-Vantaa airport;2017;10;4;00:00;50,7
Vantaa Helsinki-Vantaa airport;2017;10;5;00:00;45,5
Vantaa Helsinki-Vantaa airport;2017;10;6;00:00;46,6
Vantaa Helsinki-Vantaa airport;2017;10;7;00:00;50,1
Vantaa Helsinki-Vantaa airport;2017;10;8;00:00;24
Vantaa Helsinki-Vantaa airport;2017;10;9;00:00;20,8
Vantaa Helsinki-Vantaa airport;2017;10;10;00:00;13
Vantaa Helsinki-Vantaa airport;2017;10;11;00:00;31,8
